,Document Title,PublicationAvenue,Publication Year,Abstract,Article Citation Count
11,Conceptual model-based reasoning for knowledge-based software project management,[1988] Proceedings of the Twenty-First Annual Hawaii International Conference on System Sciences. Volume III: Decision Support and Knowledge Based Systems Track,1988,"The authors discusses the Software Project Manager (SPM), which has been prototyped in Interference Corporation's Automated Reasoning Tool (ART) on Symbolics artificial-intelligence workstations. They present an overview of the management model underlying SPM and define the essential concepts and relationships needed to model the project-management domain. They describe the knowledge representation strategy used to implement this conceptual model. They illustrate the power of using conceptual model-based reasoning in building intelligent decision-support systems for the project management domain.<>",5
12,Towards modelling and reasoning support for early-phase requirements engineering,Proceedings of ISRE '97: 3rd IEEE International Symposium on Requirements Engineering,1997,"Requirements are usually understood as stating what a system is supposed to do, as apposed to how it should do it. However, understanding the organizational context and rationales (the ""Whys"") that lead up to systems requirements can be just as important for the ongoing success of the system. Requirements modelling techniques can be used to help deal with the knowledge and reasoning needed in this earlier phase of requirements engineering. However most existing requirements techniques are intended more for the later phase of requirements engineering, which focuses on completeness, consistency, and automated verification of requirements. In contrast, the early phase aims to model and analyze stakeholder interests and how they might be addressed, or compromised, by various system-and-environment alternatives. This paper argues, therefore, that a different kind of modelling and reasoning support is needed for the early phase. An outline of the i* framework is given as an example of a step in this direction. Meeting scheduling is used as a domain example.",623
13,Modeling and reasoning for confidentiality requirements in software development,13th Annual IEEE International Symposium and Workshop on Engineering of Computer-Based Systems (ECBS'06),2006,"Requirements engineering has attained an important role in software development over the last few years as developers and other stakeholders have realized the importance of adequate requirement analysis and design in software development processes. However, the specification and analysis of functional requirements is better established compared to non-functional requirements. This could be attributed to the fact that nonfunctional requirements, such as reliability, accuracy, performance, usability and security are often subjective. Security requirements are often incorporated in an ad hoc manner or considered at post-requirement phase. It is believed that addressing these requirements during the early phase of system development improves the quality of developed applications. Confidentiality is an aspect of a system's security requirements aimed at preventing unauthorized use of personal or corporate data. Concerns from the different stakeholders which can be diverging, have to be addressed, in realizing confidentiality requirements. These concerns are also usually influenced by proposed system functions. This research is aimed at precisely defining confidentiality requirements and applying this for modelling and reasoning in confidentiality requirements engineering",1
14,Preliminary Study of Reasoning Existing Projects’ Descriptions Based on Classname Word Elements,"2022 23rd ACIS International Summer Virtual Conference on Software Engineering, Artificial Intelligence, Networking and Parallel/Distributed Computing (SNPD-Summer)",2022,"In the field of software development, there are many cases where products developed in the past have technical liabilities or are not managed as assets. As a solution to this situation, we are investigating the concept of software upcycling, which converts past products into valuable resources. In order to perform upcycling, the purpose of this paper is to understand the purpose and function of existing projects. Our key idea is to focus on the words that constitute class names. Moreover, examine how useful these words are for inferring the purpose and function of the system. Specifically, we obtain all the class names from the project by repository mining and extract the words that constitute each class file name. We consider the obtained words to reflect the characteristics of the project from which they were extracted. Furthermore, we also conduct a preliminary experiment to verify whether it is possible to infer the purpose and function of the project by referring only to these words.",2
15,Case-based reasoning for software design reuse,2005 IEEE Aerospace Conference,2005,"Object-oriented software development is well known as a concept which allow efficient reuse of software components. Unfortunately, reuse of designs has received very little attention. With regard to reuse issue, several researches apply case-based reasoning (CBR) as their methodology which allows developers to reuse designs of previously developed software. Based on the CBR, reuse is achieved by retrieving a set of similar cases to a given query. Class diagram can be seen as a kind of case representation for design reuse process. This paper discusses an approach that can be used to retrieve class diagrams from case repository. Unlike most of the researches that have been conducted in the field, the novel approach does not only focus on label of classes when finding similar cases. In stead, the system retrieve similar cases or designs by considering number of matching diagram's elements including: class; relationship; direction; and multiplicity of classes. User then selects the most similar cases proposed by the system that suited them In order to produce an output which is ready to be used in most commercial software design tools, the result of matching is a set of class diagrams created by using XML language, which could be displayed in any UML tool. The approach has been implemented in an experimental system call ""EaseDesign"" in which the method clearly improve productivity of software designers",3
16,Neo-piagetian Forms of Reasoning in Software Development Process Construction,2013 Learning and Teaching in Computing and Engineering,2013,"ICT students continue to struggle in their development of fundamental programming skills and software development processes. Crucial to successful mastery is the development of discipline specific cognitive and metacognitive skills, including self-regulation. We can assist our students in the process of reflection and self-regulation by identifying and articulating successful self-regulated learning strategies for specific discipline contexts. However, in order to do so, we must develop an understanding of those discipline specific strategies that can be successful and readily adopted by students, and ways of understanding and articulating successful mental models. In this paper, we explore a Neo-Piagetian analysis of students' reflections upon their software development processes, enabling us to identify mental models for software development. We adopt a case study approach, identifying key examples of pre-operational behaviours that rely upon self-regulated learning strategies in place of articulated mental models, through to formal operational behaviours exhibiting complex, multi-relationship models of software development and design activities. Our study provides support for pedagogy for sharing of mental models and strategies amongst students, and guiding students by explicitly modelling the software development process.",3
17,Modeling and Reasoning with Changing Intentions: An Experiment,2017 IEEE 25th International Requirements Engineering Conference (RE),2017,"Existing modeling approaches in requirements engineering assume that stakeholder goals are static: once set, they remain the same throughout the lifecycle of the project. Of course, such goals, like anything else, may change over time. In earlier work, we introduced Evolving Intentions: an approach that allows stakeholders to specify how evaluations of goal model elements change over time. Simulation over Evolving Intentions enables stakeholders to ask a variety of 'what if' questions, and evaluate possible evolutions of a goal model. GrowingLeaf is a web-based tool that implements both the modeling and analysis components of this approach. In this paper, we investigate the effectiveness and usability of Evolving Intentions, Simulation over Evolving Intentions, and GrowingLeaf. We report on a between-subjects experiment we conducted with fifteen graduate students familiar with requirements engineering. Using qualitative, quantitative, and timing data, we show that Evolving Intentions were intuitive, that Simulation over Evolving Intentions increased the subjects' understanding and produced meaningful results, and that GrowingLeaf was found to be effective and usable.",3
18,Hierarchical case-based reasoning integrating case-based and decompositional problem-solving techniques for plant-control software design,IEEE Transactions on Knowledge and Data Engineering,2001,"Case based reasoning (CBR) is an artificial intelligence technique that emphasises the role of past experience during future problem solving. New problems are solved by retrieving and adapting the solutions to similar problems, solutions that have been stored and indexed for future reuse as cases in a case-base. The power of CBR is severely curtailed if problem solving is limited to the retrieval and adaptation of a single case, so most CBR systems dealing with complex problem solving tasks have to use multiple cases. The paper describes and evaluates the technique of hierarchical case based reasoning, which allows complex problems to be solved by reusing multiple cases at various levels of abstraction. The technique is described in the context of Deja Vu, a CBR system aimed at automating plant-control software design.",52
19,Reasoning about the correctness of software development process,Proceedings of the 24th International Conference on Software Engineering. ICSE 2002,2002,"Summary form only given. During the object-oriented software development process, a variety of models of the system is built. All these models are not independent, but they are related to each other. Elements in one model have trace dependencies to other models; they are semantically overlapping and together represent the system as a whole. It is necessary to have a precise definition of the syntax and semantics of the different models and their relationships, since the lack of accuracy in their definition can lead to wrong model interpretations and inconsistency between models. The paper considers the notion of formal contract regulating the activities in the software development process. It defines the concept of software process contract (sp-contract).",0
20,Incremental Theory Closure Reasoning for Large Scale Knowledge Graphs,IEEE Access,2019,"Knowledge graph(KG)s have become more and more important for the field of cybersecurity. However, they usually contain much implicit semantic information, which needs to be further mined through semantic inference to be more useful for both analysts and automated systems. In this paper, we propose an incremental reasoning algorithm KGRL-Incre for the scenario that the instances of a KG is expanded with only a small set of triples, which can perform an incremental update to the previous reasoning result effectively to avoid a full re-reasoning over the expanded KG. The main contributions of our approach are the irrelevant triple filtering algorithms which reduce the scale of data that need to be processed and a delay reasoning strategy which limits the number of time-consuming iterations while still preserves relative completeness of the final result. The extensive experiments and comprehensive evaluations are conducted and the experimental results show that the KGRL-Incre can significantly reduce time consumption compared with the expanding and reasoning approach in the target scenario.",4
21,Seven layers of knowledge representation and reasoning in support of software development,IEEE Transactions on Software Engineering,1992,"The authors' experience in the Programmer's Apprentice project in applying knowledge representation and automated reasoning to support software development is summarized. A system, called Cake, is described that comprises seven layers of knowledge representation and reasoning facilities: truth maintenance, Boolean constraint propagation, equality, types, algebra, frames, and Plan Calculus. Sessions with two experimental software development tools implemented using Cake, the Requirements Apprentice and the Debugging Assistant, are also included.<>",36
22,“SHORT”er Reasoning About Larger Requirements Models,2017 IEEE 25th International Requirements Engineering Conference (RE),2017,"When Requirements Engineering(RE) models are unreasonably complex, they cannot support efficient decision making. SHORT is a tool to simplify that reasoning by exploiting the ""key"" decisions within RE models. These ""keys"" have the property that once values are assigned to them, it is very fast to reason over the remaining decisions. Using these ""keys"", reasoning about RE models can be greatly SHORTened by focusing stakeholder discussion on just these key decisions.This paper evaluates the SHORT tool on eight complex RE models. We find that the number of keys are typically only 12% of all decisions. Since they are so few in number, keys can be used to reason faster about models. For example, using keys, we can optimize over those models (to achieve the most goals at least cost) two to three orders of magnitude faster than standard methods. Better yet, finding those keys is not difficult: SHORT runs in low order polynomial time and terminates in a few minutes for the largest models.",5
23,Combining iterative analytical reasoning and software development using the visualization language Processing,2009 IEEE Symposium on Visual Analytics Science and Technology,2009,"Processing is a very powerful visualization language which combines software concepts with principles of visual form and interaction. Artists, designers and architects use it but it is also a very effective programming language in the area of visual analytics. In the following contribution Processing is utilized in order to visually analyze data provided by IEEE VAST 2009 Mini Challenge Badge and Network Traffic. The applied process is iterative and each stage of the analytical reasoning process is accompanied by customized software development. The visual model, the process and the technical solution will be briefly introduced.",0
24,A pipelined fuzzy reasoning processor and its software development system,"1995 International Symposium on VLSI Technology, Systems, and Applications. Proceedings of Technical Papers",1995,"Fuzzy reasoning processors have been employed in many commercial and industrial applications. A high-performance pipelined, single-instruction-stream, and single-data-stream architecture of a fuzzy reasoning engine has been designed. Based on this architecture, the proposed VLSI processor for embedded real-time fuzzy logic applications was fabricated in a 0.8-/spl mu/m CMOS technology. Its computation power can reach 2.5 Million Fuzzy Logic Inferences Per Second (MFLIPS) at a system clock of 20 MHz. In order to efficiently realize fuzzy applications, a software development system under Microsoft Windows has also been designed.",0
25,Ontology Based Software Design Documentation For Design Reasoning,2019 Moratuwa Engineering Research Conference (MERCon),2019,"Designing a quality software product adhering to all the functional and non-functional requirements is a challenging task in software architecture designing. Selecting the best designs to apply in the project will be included in the design reasoning. The discussion on the selections are important, but it dies when the discussion ends. The reasoning is important to be documented for maintenance purpose and to accommodate any changes that would result in architectural evolution. There are tools, which have been proposed for this purpose, but, using an ontological approach with implementation and evaluation has not been conducted. Hence an ontology-based approach has been chosen for documenting the software architecture design reasoning under this research. As software designing is a vast area of design decisions, the research was narrowed down to the RESTful web service domain. First, an ontology was created, capturing the key terms and the architectural elements of the domain. A tool was created using this ontology to generate the design reasoning for a given software document. Three techniques were used when creating the tool, which comprised of a key term matching, deriving elements based on parts of speech tagging, and ontology reasoning. The reasoning captured from these techniques will be documented in a user-friendly manner. A prototype of this approach was developed and evaluated to prove its usability and accuracy. The overall precision of 0.58 was calculated with the use of the prototype application developed.",1
26,Combined goal and feature model reasoning with the User Requirements Notation and jUCMNav,2014 IEEE 22nd International Requirements Engineering Conference (RE),2014,"The User Requirements Notation (URN) is an international requirements engineering standard published by the International Telecommunication Union. URN supports goal-oriented and scenario-based modeling and analysis. jUCMNav is an open-source, Eclipse-based modeling tool for URN. This tool demonstration focuses on recent extensions to jUCMNav that have incorporated feature models into a URN-based modeling and reasoning framework. Feature modeling is a well-establishing technique for capturing commonalities and variabilities of Software Product Lines. Combined with URN, it is possible to reason about the impact of feature configurations on stakeholder goals and system qualities, thus helping to identify the most appropriate features for a stakeholder. Furthermore, coordinated feature and goal model reasoning is fundamental to Concern-Driven Development, where concerns are defined with a three-part variation, customization, and usage interface. As the variation interface is described with feature and goal models, it is now possible with jUCMNav to define and reason about a concern's variation interface, which is a prerequisite for composing multiple concerns based on their three-part interfaces.",1
27,Proposal for the Implementation of a Web Platform to Reinforce the Learning of the Mathematical Reasoning Course for Sixth Grade of Primary School,"2023 IEEE XXX International Conference on Electronics, Electrical Engineering and Computing (INTERCON)",2023,"Currently, the traditional teaching methodology used in educational centers is not effectively adapted to the current technological era, which can lead to poor academic performance of students, especially in the subject of mathematical reasoning. The objective of the research is to develop a web platform that reinforces the learning of mathematical reasoning in sixth grade students. For this purpose, the agile software development methodology SCRUM was used, due to its agility and flexibility in the development process. In addition, the Game Learning methodology was used for the development of the web page content. The results obtained by conducting the experiment through a control and experimental group, in addition to the application of a survey, obtained a Spearman’s Rho of 0.891 and a significance of less than 0.05, demonstrating that there is a relationship between the use of the web platform and the learning of mathematical reasoning. Thus, it is demonstrated that the use of ICT (information and communication technologies) benefits students, since it improves in several aspects in relation to traditional teaching, as evidenced in the experiment an improvement of 3.331% of the experimental group compared to the control group. Therefore, it is plausible to conclude that the use of a web platform accompanied by the Game Learning methodology reinforces students’ learning in general.",0
28,A Simple Model for Reasoning about Limits on Coupling in Object-Oriented Software,2020 10th Annual Computing and Communication Workshop and Conference (CCWC),2020,"Given that all of a program's code must be reachable from its main method, and that type-safety causes this reachability to substantially manifest as compilation dependencies among the program's classes, a simple model for reasoning about limits on coupling among a program's classes-a long-standing question in the software design literature-is proposed. The model takes the form of a directed graph with classes as nodes and four distinct forms of compilation dependencies as labeled edges. As manifested in compilation dependencies, the model suggests that there is a trade-off between direct and transitive coupling, and that certain forms of coupling in a class are prerequisites for the existence of other forms in that same class.",0
29,Enabling Analysis and Reasoning on Software Systems through Knowledge Graph Representation,2023 IEEE/ACM 20th International Conference on Mining Software Repositories (MSR),2023,"This work presents a knowledge-representation-based approach for analysing software systems. Its main components are: a generic and extensible knowledge model, and a knowledge extractor tool that generates instance-level knowledge graphs from software repositories (currently Java). Our knowledge model can be used as a shared data-model in a software analysis pipeline. We illustrate the potential uses of our knowledge representation by performing experimental architecture recovery and identifying design pattern instance. We intend to use our ontology and extraction tool as a partial foundation for automated reasoning on software systems.",1
30,Towards an Automatic Generation of UML Class Diagrams from Textual Requirements using Case-based Reasoning Approach,2022 4th International Conference on Applied Automation and Industrial Diagnostics (ICAAID),2022,"Nowadays automatic information extraction plays a major roles in software development life cycle. It allows producing automated tools that help humans in routine tasks. The automatic extraction of Unified Modeling Language (UML) class diagrams from textual requirements can help in reducing the design time and cost. This paper proposes a novel case-based reasoning model to facilitate the process of generating the UML class diagrams from textual requirements. The result of this work can help on minimizing the manual work, and can be employed to extract other type of information from documents that we cope with during software development life cycle.",0
31,Reasoning on Non-Functional Requirements for Integrated Services,2009 17th IEEE International Requirements Engineering Conference,2009,"We focus on non-functional requirements for applications offered by service integrators; i.e., software that delivers service by composing services, independently developed, managed, and evolved by other service providers. In particular, we focus on requirements expressed in a probabilistic manner, such as reliability or performance. We illustrate a unified approach-a method and its support tools-which facilitates reasoning about requirements satisfaction as the system evolves dynamically. The approach relies on run-time monitoring and uses the data collected by the probes to detect if the behavior of the open environment in which the application is situated, such as usage profile or the external services currently bound to the application, deviates from the initially stated assumptions and whether this can lead to a failure of the application. This is achieved by keeping a model of the application alive at run time, automatically updating its parameters to reflect changes in the external world, and using the model's predictive capabilities to anticipate future failures, thus enabling suitable recovery plans.",17
32,Trust Representation and Reasoning for Access Control in Large Scale Distributed Systems,2007 2nd International Conference on Pervasive Computing and Applications,2007,"The Internet-based large scale distributed applications have huge and changeable user groups, which brings forward a new problem for access control in the systems. The traditional access control methods are identification based and closed, which can not satisfy the new security requirement of the large scale distributed systems. Trust-based access control is dynamically scalable which has provided a new way for solving this problem. Trust representation and reasoning is the fundamental issue in trust-based access control. In this paper, we first analyze the properties of trust in human society, and describe the attributes of trust in the context of access control. Then basing on the fuzzy set theory, we suggest a mathematic model for trust representation and reasoning. An example is given for showing how the model can be used to represent trust.",20
33,KGRL: An OWL2 RL Reasoning System for Large Scale Knowledge Graph,"2016 12th International Conference on Semantics, Knowledge and Grids (SKG)",2016,"Currently knowledge graph has been widely applied to various fields. Although the data scale is large, there is still a lot of useful but implicit information in it. Thus, a powerful reasoning system is required to derive these data. However, current reasoning systems cannot accomplish this task very well. On the one hand, stand-alone reasoning systems cannot meet the demand of large data. On the other hand, the reasoning ability of existing distributed reasoning systems is limited because of the lack of expressive inference rules. In this paper, we propose and implement a distributed reasoning system KGRL for knowledge graph based on OWL2 RL. It has a more powerful reasoning ability due to more expressive rules. It also supports optimization for redundant data. Besides, a rule-based algorithm is designed to find the inconsistent data. Experimental results show that KGRL can derive more implicit information efficiently compared to other reasoning systems. Moreover, KGRL is capable of eliminating redundant data, which can reduce the storage of knowledge graph by an average of 42%. Finally, KGRL also performs well for the detection of inconsistencies in knowledge graph.",7
34,Towards a software diagnosis method based on rough set reasoning,2008 8th IEEE International Conference on Computer and Information Technology,2008,"Software diagnosis for finding faults based on the test results is one of the most time-consuming and labor-intensive activities in large scale software development. Revealing the potential knowledge hidden in the test results or program constructs to assist this activity is a rational solution. In this paper, we propose two kinds of debugging applications based on rough set reasoning. One is to select key input parameters which will affect program’s behaviors to facilitate diagnosis. The other is to extract association rules between program input and its behaviors. The inputs of the above two rough reasoning applications are all the test results of functional testing. Our work is the first attempt to utilize functional testing information to help software debugging. The feasibility and effectiveness of our approach is validated by some examples and experiments. In addition, some on-going research issues are also addressed.",2
35,Rely-Guarantee Reasoning about Messaging System for Autonomous Vehicles,2020 International Symposium on Theoretical Aspects of Software Engineering (TASE),2020,"Messaging system as a communicating infrastructure is a safety-critical component of autonomous vehicles. For the purpose of safety certification of Level 4 autonomous driving systems, its necessary to provide a formally verified specification of messaging systems. This paper presents a realistic case study using the PiCore rely-guarantee framework to formally verify the DGPS (Differential Global Positioning System) of UISEE autonomous driving systems. We first create an axiom model of messaging systems by extending PiCore, which is reusable for concrete applications. The model supports dynamic configuration of message buffers as well as the automatic generation of the rely and guarantee conditions for compositional reasoning. It is instantiated when developing the formal specification of DGPS. Then, we use the rely-guarantee proof system of PiCore to verify the functional correctness and invariant of DGPS. The specification and its proof provide a strong evidence for the ongoing safety certification of DGPS.",0
36,FFL: Fine-grained Fault Localization for Student Programs via Syntactic and Semantic Reasoning,2022 IEEE International Conference on Software Maintenance and Evolution (ICSME),2022,"Fault localization has been used to provide feedback for incorrect student programs since locations of faults can be a valuable hint for students about what caused their programs to crash. Unfortunately, existing fault localization techniques for student programs are limited because they usually consider either the program's syntax or semantics alone. This motivates the new design of fault localization techniques that use both semantic and syntactical information of the program.In this paper, we introduce FFL (Fine grained Fault Localization), a novel technique using syntactic and semantic reasoning for localizing bugs in student programs. The novelty in FFL that allows it to capture both syntactic and semantic of a program is three-fold: (1) A fine-grained graph-based representation of a program that is adaptive for statement-level fault localization; (2) an effective and efficient model to leverage the designed representation for fault-localization task and (3) a node-level training objective that allows deep learning model to learn from fine-grained syntactic patterns. We compare FFL's effectiveness with state-of-the-art fault localization techniques for student programs (NBL, Tarantula, Ochiai and DStar) on two real-world datasets: Prutor and Codeflaws. Experimental results show that FFL successfully localizes bug for 84.6% out of 2136 programs on Prutor and 83.1% out of 780 programs on Codeflaws concerning the top-10 suspicious statements. FFL also remarkably outperforms the best baselines by 197%, 104%, 70%, 22% on Codeflaws dataset and 10%, 17%, 15% and 8% on Prutor dataset, in term of top-1, top-3, top-5, top-10, respectively.",0
37,The Causal Reasoning Ability of Open Large Language Model: A Comprehensive and Exemplary Functional Testing,"2023 IEEE 23rd International Conference on Software Quality, Reliability, and Security (QRS)",2023,"As the intelligent software, the development and application of large language models are extremely hot topics recently, bringing tremendous changes to general AI and software industry. Nonetheless, large language models, especially open source ones, incontrollably suffer from some potential software quality issues such as instability, inaccuracy, and insecurity, making software testing necessary. In this paper, we propose the first solution for functional testing of open large language models to check full-scene availability and conclude empirical principles for better steering large language models, particularly considering their black box and intelligence properties. Specifically, we focus on the model’s causal reasoning ability, which is the core of artificial intelligence but almost ignored by most previous work. First, for comprehensive evaluation, we deconstruct the causal reasoning capability into five dimensions and summary the forms of causal reasoning task as causality identification and causality matching. Then, rich datasets are introduced and further modified to generate test cases along with different ability dimensions and task forms to improve the testing integrity. Moreover, we explore the ability boundary of open large language models in two usage modes: prompting and lightweight fine-tuning. Our work conducts comprehensive functional testing on the causal reasoning ability of open large language models, establishes benchmarks, and derives empirical insights for practical usage. The proposed testing solution can be transferred to other similar evaluation tasks as a general framework for large language models or their derivations.",0
38,Combining Combinatorial Testing and Metamorphic Testing for Testing a Logic-Based Non-monotonic Reasoning System,"2018 IEEE International Conference on Software Testing, Verification and Validation Workshops (ICSTW)",2018,"Combinatorial testing has proven to be a very valuable testing technique for automated generation of test suites given the domain of the inputs and the configuration parameters. In order to fully automate combinatorial testing, however, there is a need for an automated test oracle. In case of testing logic-based non-monotonic reasoning systems, we show how to generate test cases and how to make use of metamorphic testing in order to provide a test oracle. The combined testing method allows for complete test automation. We further discuss first experimental results obtained for an implementation of an assumption-based truth maintenance system implementing basic non-monotonic reasoning capabilities.",4
